months_driven,total_kms_driven,make,vehicle_model,year,fuel_type,last_service_type,days_until_service,kms_until_service,driver_profile,trigger,elapsed_fraction
5.4,11609.4,Maruti,Vitara,2013,diesel,oil_change,6,390.6,average,km,0.9643
2.32,1904.4,Volkswagen,Polo,2019,petrol,oil_change,106,2781.8,light,time,0.4
4.77,9797.9,Hyundai,Creta,2018,petrol,full_service,3,202.1,average,km,0.9811
1.55,1122.6,BMW,5 Series,2019,petrol,oil_change,120,2783.2,light,time,0.2817
3.48,3766.9,Hyundai,i20,2024,petrol,inspection,98,3459.8,average,time,0.5188
1.75,5315.3,Hyundai,i20,2013,hybrid,oil_change,44,4284.7,heavy,km,0.5496
2.9,3192.8,BMW,5 Series,2014,diesel,brake_service,106,3843.1,average,time,0.4548
3.77,3425.7,BMW,3 Series,2013,petrol,inspection,56,1682.1,light,time,0.6704
2.16,5264.4,BMW,5 Series,2011,petrol,oil_change,33,2735.6,heavy,km,0.6623
0.82,553.5,Toyota,Corolla,2022,hybrid,full_service,171,3369.9,light,time,0.1282
4.22,7036.8,Toyota,RAV4,2021,hybrid,full_service,51,2743.3,average,time,0.717
2.65,8761.1,Toyota,Corolla,2018,diesel,full_service,57,6238.9,heavy,km,0.5846
3.66,6790.0,Hyundai,Tucson,2023,diesel,oil_change,98,5940.7,average,time,0.5317
7.76,19202.9,Hyundai,Creta,2016,electric,oil_change,97,7861.7,heavy,time,0.709
4.13,8451.8,Hyundai,Tucson,2019,petrol,full_service,25,1548.2,average,km,0.8356
4.17,3223.1,Honda,Civic,2018,petrol,full_service,46,1156.6,light,time,0.7348
0.53,346.3,BMW,3 Series,2016,petrol,oil_change,126,3003.4,light,time,0.1132
2.34,3972.8,Hyundai,i20,2012,diesel,oil_change,119,6733.6,average,time,0.3756
2.34,2404.1,Hyundai,i20,2012,petrol,inspection,126,4206.8,light,time,0.3604
6.48,5622.8,Volkswagen,Tiguan,2012,electric,full_service,176,5020.7,light,time,0.5284
3.26,2676.4,Toyota,RAV4,2013,diesel,inspection,62,1743.2,light,time,0.6152
2.21,2818.3,Honda,Accord,2019,diesel,oil_change,114,4651.8,average,time,0.37
1.24,1912.4,Maruti,Vitara,2018,petrol,oil_change,155,7916.6,average,time,0.1953
2.84,10742.0,Toyota,Corolla,2013,diesel,inspection,10,1258.0,heavy,km,0.9007
2.54,1964.3,Hyundai,i20,2011,hybrid,oil_change,109,2798.4,light,time,0.4145
0.38,1060.8,BMW,5 Series,2018,petrol,full_service,99,8939.2,heavy,km,0.1041
0.78,2380.8,Volkswagen,Polo,2011,electric,oil_change,321,32472.4,heavy,time,0.0686
3.62,11664.7,Volkswagen,Golf,2024,hybrid,brake_service,14,1535.3,heavy,km,0.8864
1.26,4125.2,Ford,Fiesta,2024,petrol,full_service,63,6874.8,heavy,km,0.3808
5.41,7578.0,Ford,Escape,2015,hybrid,oil_change,5,244.0,average,time,0.9687
1.07,968.9,BMW,3 Series,2021,petrol,inspection,196,5614.2,light,time,0.1429
2.04,2025.5,BMW,3 Series,2013,petrol,full_service,88,2739.3,light,time,0.4133
2.42,3921.7,Maruti,Vitara,2021,petrol,inspection,66,3467.9,average,time,0.527
3.11,3223.4,BMW,5 Series,2015,diesel,oil_change,109,3795.8,light,time,0.465
5.3,3076.9,Volkswagen,Tiguan,2023,diesel,inspection,35,681.5,light,time,0.82
2.43,2100.6,Maruti,Vitara,2011,petrol,full_service,113,3180.2,light,time,0.3961
5.24,7390.2,BMW,X3,2018,hybrid,full_service,33,1506.0,average,time,0.8303
1.41,4477.1,Volkswagen,Polo,2019,diesel,full_service,100,10522.9,heavy,km,0.3002
2.53,2766.4,BMW,5 Series,2020,petrol,inspection,133,4735.6,average,time,0.3662
3.63,6513.8,Ford,Fiesta,2017,petrol,full_service,59,3486.2,average,km,0.6534
2.0,1791.9,Volkswagen,Tiguan,2017,hybrid,full_service,122,3569.2,light,time,0.3328
6.2,4017.7,Toyota,RAV4,2020,petrol,oil_change,1,21.1,average,time,0.9949
3.38,2942.1,Maruti,Baleno,2010,petrol,inspection,83,2363.5,light,time,0.5544
3.68,7157.1,Ford,Fiesta,2020,petrol,full_service,45,2842.9,average,km,0.7155
3.06,2709.1,Volkswagen,Golf,2014,diesel,oil_change,102,2899.0,light,time,0.4778
2.42,2212.2,Maruti,Swift,2013,diesel,oil_change,76,2317.5,light,time,0.4925
2.84,5471.3,Ford,Escape,2022,petrol,oil_change,80,5135.8,average,time,0.5177
0.2,145.5,Ford,Focus,2012,hybrid,full_service,212,4946.8,light,time,0.0273
0.41,1526.0,Volkswagen,Polo,2023,petrol,full_service,81,9474.0,heavy,km,0.1337
5.07,3539.5,Hyundai,i20,2019,diesel,full_service,23,543.4,light,time,0.8688
4.56,6102.6,Honda,Civic,2021,petrol,oil_change,31,1332.6,average,time,0.8194
0.58,2418.6,Toyota,RAV4,2019,petrol,oil_change,56,7581.4,heavy,km,0.2398
0.22,316.8,Honda,Civic,2020,hybrid,full_service,169,8375.1,average,time,0.0373
0.29,288.3,Hyundai,Creta,2021,diesel,oil_change,188,5751.8,light,time,0.0456
0.95,1043.3,BMW,3 Series,2011,diesel,full_service,156,6174.8,average,time,0.1556
2.36,2952.0,Honda,Civic,2011,diesel,oil_change,115,4769.1,average,time,0.3856
1.65,2607.1,Volkswagen,Polo,2024,electric,oil_change,263,13732.7,average,time,0.1603
2.4,4926.2,Honda,CR-V,2019,diesel,full_service,120,8022.5,average,time,0.378
2.43,3750.1,Ford,Fiesta,2020,petrol,brake_service,123,6121.9,average,time,0.3763
0.26,649.0,Ford,Escape,2017,hybrid,oil_change,124,11351.0,heavy,km,0.061
0.08,126.3,Hyundai,Creta,2021,hybrid,inspection,225,12221.8,average,time,0.0101
5.97,5807.2,Maruti,Swift,2016,petrol,full_service,22,694.1,light,time,0.8933
0.58,2335.9,Volkswagen,Polo,2023,hybrid,oil_change,83,10864.1,heavy,km,0.1738
1.4,2165.6,Honda,Civic,2023,petrol,inspection,151,7596.6,average,time,0.2201
2.32,3410.3,Maruti,Vitara,2021,petrol,brake_service,109,5140.0,average,time,0.3928
0.22,451.0,Volkswagen,Golf,2012,diesel,inspection,168,11549.0,average,km,0.0382
2.34,4142.6,Hyundai,i20,2023,hybrid,full_service,106,6050.0,average,time,0.4014
0.03,129.2,Volkswagen,Polo,2010,petrol,oil_change,70,7870.8,heavy,km,0.0128
1.02,2485.4,Ford,Escape,2019,diesel,oil_change,131,10414.9,heavy,time,0.1919
3.58,6994.2,Maruti,Swift,2020,petrol,full_service,40,2613.4,average,time,0.7292
3.99,2118.2,Volkswagen,Polo,2019,diesel,brake_service,69,1196.4,light,time,0.6383
0.88,1129.4,Hyundai,Tucson,2014,petrol,oil_change,180,6870.6,average,km,0.1293
2.96,6091.4,Volkswagen,Golf,2015,petrol,oil_change,28,1908.6,average,km,0.7627
0.34,320.2,Hyundai,i20,2013,hybrid,oil_change,147,3453.2,light,time,0.0663
4.28,3798.3,Toyota,RAV4,2018,petrol,oil_change,49,1436.5,light,time,0.7251
0.8,1131.5,Honda,CR-V,2019,petrol,oil_change,131,5654.6,average,time,0.1567
4.67,8702.6,Honda,CR-V,2019,diesel,inspection,52,3156.8,average,time,0.7332
0.02,0.0,Maruti,Swift,2022,petrol,oil_change,184,11000.0,average,km,0.0039
3.58,5543.6,Ford,Escape,2015,diesel,full_service,72,3662.5,average,time,0.6025
6.61,12358.3,Ford,Fiesta,2018,electric,oil_change,84,5093.5,average,time,0.7068
1.05,1625.2,Ford,Focus,2010,petrol,full_service,129,6374.8,average,km,0.1984
3.17,5059.1,BMW,5 Series,2021,petrol,inspection,102,5307.3,average,time,0.486
2.18,4815.0,BMW,5 Series,2012,hybrid,full_service,67,4785.0,average,km,0.4983
0.18,152.8,Volkswagen,Tiguan,2015,petrol,oil_change,161,3826.4,light,time,0.0323
2.41,1445.2,Ford,Fiesta,2018,petrol,full_service,92,1888.1,light,time,0.4447
3.14,4136.3,Hyundai,Creta,2019,petrol,full_service,125,5452.9,average,time,0.4337
4.32,5228.7,Toyota,RAV4,2013,hybrid,oil_change,65,2545.6,average,time,0.6687
6.2,10737.4,Toyota,Corolla,2016,diesel,inspection,13,717.9,average,time,0.9376
6.43,9217.1,Toyota,Corolla,2022,petrol,oil_change,19,880.8,average,time,0.9127
4.29,6607.5,Maruti,Baleno,2020,petrol,inspection,55,2763.2,average,time,0.7044
0.88,2481.4,Honda,Civic,2022,petrol,oil_change,94,8518.6,heavy,km,0.2213
1.58,1573.9,Ford,Escape,2019,petrol,full_service,131,4266.4,light,time,0.2684
4.23,2785.0,Honda,Civic,2018,hybrid,full_service,16,332.6,light,time,0.8908
3.17,8703.2,Maruti,Vitara,2019,electric,inspection,250,22773.1,heavy,time,0.2789
3.67,2581.5,Toyota,RAV4,2017,petrol,oil_change,49,1104.1,light,time,0.6931
2.84,4767.3,Maruti,Swift,2014,diesel,brake_service,85,4680.7,average,time,0.5058
0.7,1006.7,Volkswagen,Golf,2019,petrol,oil_change,171,8993.3,average,km,0.1099
2.82,2270.1,Volkswagen,Golf,2013,hybrid,oil_change,83,2313.7,light,time,0.5092
5.77,8579.3,Ford,Focus,2016,petrol,oil_change,26,1246.1,average,time,0.873
4.33,10105.0,Ford,Focus,2023,petrol,brake_service,12,895.0,heavy,km,0.9193
2.87,3907.3,BMW,X3,2017,petrol,oil_change,98,4416.3,average,time,0.4721
3.66,4976.0,Hyundai,i20,2024,diesel,oil_change,90,4040.9,average,time,0.5534
1.22,3541.9,Maruti,Vitara,2014,diesel,oil_change,91,8458.1,heavy,km,0.2914
0.75,1245.8,Ford,Fiesta,2016,hybrid,oil_change,154,8154.6,average,time,0.1284
5.38,4209.5,Volkswagen,Golf,2019,petrol,oil_change,52,1340.5,light,time,0.759
1.11,961.2,Hyundai,Tucson,2023,diesel,oil_change,140,3655.3,light,time,0.1947
1.39,4390.4,Honda,Accord,2019,petrol,oil_change,55,5609.6,heavy,km,0.434
2.86,3637.9,Toyota,Camry,2014,petrol,inspection,78,3233.1,average,time,0.5278
0.34,1081.6,Honda,CR-V,2010,petrol,oil_change,65,6918.4,heavy,km,0.1365
5.46,8592.1,BMW,X3,2017,petrol,oil_change,28,1407.9,average,km,0.8543
8.51,10735.6,BMW,5 Series,2022,electric,inspection,116,4793.4,average,time,0.6901
4.23,6805.4,Toyota,Corolla,2010,hybrid,full_service,44,2340.0,average,time,0.7467
1.48,3021.4,Honda,Civic,2020,diesel,oil_change,124,8460.0,average,time,0.2666
3.51,9946.0,Maruti,Vitara,2019,petrol,inspection,1,54.0,heavy,km,0.9918
5.43,5751.3,Maruti,Vitara,2021,petrol,oil_change,53,1851.0,light,time,0.7574
5.95,16347.2,Toyota,RAV4,2021,diesel,oil_change,2,152.8,heavy,km,0.9911
2.75,4450.6,Maruti,Baleno,2012,hybrid,inspection,94,5149.4,average,km,0.472
10.36,15775.0,Toyota,Corolla,2013,electric,inspection,19,959.7,average,time,0.9428
0.9,1568.5,BMW,X3,2021,diesel,oil_change,155,9154.9,average,time,0.1495
1.45,2688.8,Volkswagen,Polo,2015,diesel,brake_service,157,9311.2,average,km,0.2196
2.9,7888.9,Ford,Focus,2010,petrol,full_service,1,111.1,heavy,km,0.9924
5.0,4006.1,Hyundai,i20,2016,petrol,full_service,18,494.2,light,time,0.8923
3.39,8685.1,Toyota,RAV4,2013,diesel,inspection,40,3314.9,heavy,km,0.7216
0.54,1589.9,Toyota,RAV4,2023,petrol,oil_change,97,9410.1,heavy,km,0.1446
4.44,2820.1,Toyota,Camry,2015,petrol,oil_change,61,1286.5,light,time,0.6903
2.31,3603.9,Volkswagen,Tiguan,2014,diesel,full_service,92,4601.8,average,time,0.4331
2.43,6145.4,BMW,3 Series,2024,electric,inspection,341,27933.6,heavy,time,0.178
3.0,4693.7,Toyota,RAV4,2022,petrol,full_service,119,6175.0,average,time,0.4348
0.05,216.3,Maruti,Vitara,2013,petrol,oil_change,94,7783.7,heavy,km,0.0174
0.04,142.8,Volkswagen,Tiguan,2011,petrol,inspection,119,7857.2,average,km,0.0101
4.88,7833.1,Toyota,Corolla,2011,diesel,brake_service,26,1357.5,average,time,0.8516
3.76,6206.6,Ford,Focus,2013,hybrid,oil_change,64,3393.4,average,km,0.6418
4.17,3389.8,Toyota,Camry,2020,diesel,oil_change,33,885.8,light,time,0.7925
1.68,1089.0,Ford,Escape,2010,diesel,oil_change,100,2127.7,light,time,0.339
5.73,4050.3,Ford,Focus,2010,petrol,brake_service,2,43.7,light,time,0.9892
1.91,3634.7,Maruti,Baleno,2011,diesel,brake_service,117,7302.8,average,time,0.3324
1.41,1296.7,BMW,X3,2013,hybrid,full_service,180,5142.7,light,time,0.1923
5.0,8134.9,BMW,5 Series,2017,petrol,full_service,18,992.0,average,time,0.8917
1.87,2200.8,Hyundai,i20,2023,diesel,full_service,105,3999.1,average,time,0.3528
2.2,6862.6,Hyundai,Creta,2018,diesel,oil_change,80,8137.4,heavy,km,0.4563
5.03,9862.9,Hyundai,Creta,2020,petrol,full_service,3,137.1,average,km,0.9792
4.77,8541.8,Hyundai,i20,2016,petrol,full_service,24,1458.2,average,km,0.8563
2.7,3529.6,Hyundai,Creta,2022,diesel,full_service,101,4339.3,average,time,0.4495
4.11,5928.2,Toyota,Corolla,2014,petrol,oil_change,41,2071.8,average,km,0.7519
0.07,181.2,Ford,Escape,2022,diesel,inspection,138,16318.8,heavy,km,0.0147
0.27,707.1,Ford,Fiesta,2012,petrol,oil_change,74,7292.9,heavy,km,0.0984
5.28,9142.0,Ford,Focus,2020,petrol,oil_change,16,858.0,average,km,0.91
6.12,5593.7,Ford,Escape,2014,hybrid,oil_change,18,556.7,light,time,0.9099
2.03,3791.7,Ford,Focus,2022,diesel,full_service,115,7067.4,average,time,0.3485
6.51,9180.3,Toyota,Camry,2017,electric,oil_change,76,3520.0,average,time,0.7229
4.79,7613.7,Ford,Focus,2010,diesel,full_service,57,2974.6,average,time,0.7193
2.1,6154.8,Volkswagen,Polo,2011,petrol,full_service,19,1845.2,heavy,km,0.7727
5.35,6400.8,Volkswagen,Golf,2016,petrol,full_service,21,834.1,average,time,0.885
1.14,1627.2,BMW,5 Series,2022,electric,oil_change,293,13741.4,average,time,0.1058
5.35,4884.9,Volkswagen,Golf,2012,diesel,oil_change,11,335.2,light,time,0.9365
3.55,1738.7,Ford,Fiesta,2021,diesel,inspection,111,1920.2,light,time,0.4939
11.67,21501.2,Toyota,Corolla,2016,electric,oil_change,6,363.5,average,time,0.9834
2.33,3713.6,Toyota,RAV4,2012,electric,full_service,280,14336.5,average,time,0.2018
0.81,2279.4,Ford,Fiesta,2020,petrol,oil_change,81,7720.6,heavy,km,0.2334
2.02,1791.5,Ford,Focus,2022,petrol,oil_change,112,3288.2,light,time,0.3545
1.82,1881.5,Maruti,Vitara,2018,diesel,full_service,103,3586.3,light,time,0.3501
2.03,3938.6,Maruti,Swift,2020,petrol,oil_change,94,6061.4,average,km,0.3978
7.43,15250.9,BMW,X3,2016,electric,oil_change,137,9220.6,heavy,time,0.6223
6.73,5211.1,Honda,Civic,2011,petrol,brake_service,11,286.4,light,time,0.9475
5.38,9671.7,Toyota,RAV4,2014,diesel,full_service,39,2328.3,average,km,0.8084
1.74,3086.2,Honda,Accord,2018,diesel,full_service,136,7839.8,average,time,0.2803
1.2,3150.7,BMW,5 Series,2016,hybrid,full_service,104,8849.3,heavy,km,0.2605
8.23,12187.3,BMW,3 Series,2016,electric,full_service,104,5064.2,average,time,0.7067
3.76,4446.0,Volkswagen,Tiguan,2014,petrol,full_service,77,3005.4,average,time,0.5966
0.83,1965.1,Maruti,Vitara,2024,diesel,inspection,186,14534.9,heavy,km,0.1192
2.0,2114.2,Volkswagen,Polo,2014,petrol,full_service,110,3867.6,average,time,0.3568
4.06,5901.7,BMW,3 Series,2023,petrol,full_service,94,4485.7,average,time,0.5674
1.25,1935.5,Hyundai,Tucson,2024,petrol,full_service,156,7993.7,average,time,0.1968
7.21,10547.3,Toyota,RAV4,2018,electric,inspection,148,7089.5,average,time,0.5977
4.72,3456.8,Honda,CR-V,2011,petrol,oil_change,37,851.1,light,time,0.7969
2.73,4057.5,Maruti,Vitara,2017,petrol,full_service,74,3609.7,average,time,0.5286
5.5,9369.6,Volkswagen,Polo,2010,hybrid,oil_change,4,230.4,average,km,0.9765
5.51,9714.0,Volkswagen,Tiguan,2017,petrol,oil_change,2,286.0,average,km,0.9867
2.26,4875.9,Ford,Fiesta,2011,petrol,full_service,44,3124.1,average,km,0.6121
3.86,3083.4,Honda,Civic,2016,petrol,oil_change,42,1090.3,light,time,0.7385
3.47,11542.9,Toyota,Corolla,2012,diesel,oil_change,4,457.1,heavy,km,0.9623
0.71,960.7,Hyundai,i20,2024,diesel,oil_change,152,6678.6,average,time,0.1251
0.95,2681.9,Maruti,Vitara,2018,petrol,oil_change,77,7318.1,heavy,km,0.2733
1.29,2433.4,Maruti,Vitara,2017,hybrid,oil_change,142,8761.4,average,time,0.217
1.76,6430.6,Maruti,Vitara,2013,petrol,brake_service,13,1569.4,heavy,km,0.809
0.99,3388.1,Maruti,Baleno,2020,petrol,full_service,62,6611.9,heavy,km,0.3281
1.75,2554.4,Volkswagen,Golf,2021,hybrid,full_service,106,5201.6,average,time,0.3354
3.56,2652.9,Volkswagen,Polo,2022,petrol,oil_change,61,1522.3,light,time,0.6414
4.49,6581.7,BMW,X3,2024,petrol,full_service,33,1581.1,average,time,0.8065
5.84,9613.6,Maruti,Swift,2014,diesel,oil_change,27,1450.6,average,time,0.8684
1.92,6653.8,BMW,X3,2016,petrol,inspection,29,3346.2,heavy,km,0.6656
1.99,4293.1,Hyundai,Tucson,2018,petrol,oil_change,83,5706.9,average,km,0.422
2.26,7952.9,Toyota,RAV4,2022,petrol,full_service,26,3047.1,heavy,km,0.7283
4.82,10532.8,Toyota,RAV4,2022,diesel,inspection,7,503.1,average,time,0.9545
2.69,1642.5,BMW,5 Series,2016,diesel,full_service,114,2377.0,light,time,0.4174
2.08,2009.1,Hyundai,i20,2012,diesel,full_service,114,3589.9,light,time,0.3584
7.65,5800.7,Hyundai,Tucson,2023,electric,oil_change,105,2642.9,light,time,0.6899
1.56,1122.0,Maruti,Swift,2019,petrol,oil_change,128,3109.4,light,time,0.2709
4.66,7667.9,Ford,Focus,2024,hybrid,oil_change,63,3387.0,average,time,0.6926
7.35,6438.4,Maruti,Baleno,2024,electric,full_service,135,3887.8,light,time,0.6234
4.14,10740.2,Ford,Escape,2019,diesel,inspection,50,4259.8,heavy,km,0.7156
0.17,203.1,Hyundai,i20,2012,petrol,oil_change,191,5546.9,light,time,0.0269
5.96,5542.4,Hyundai,Tucson,2014,electric,oil_change,118,3624.4,light,time,0.6058
5.7,8729.8,Volkswagen,Golf,2015,diesel,full_service,38,1905.2,average,time,0.8201
1.42,4992.9,Volkswagen,Polo,2012,hybrid,inspection,41,4607.1,heavy,km,0.5139
5.39,10651.7,BMW,3 Series,2014,diesel,brake_service,22,1348.3,average,km,0.884
4.93,9044.9,Hyundai,Tucson,2018,petrol,oil_change,14,955.1,average,km,0.9129
7.75,23126.7,Ford,Focus,2023,electric,full_service,123,12054.5,heavy,time,0.6568
5.71,8930.6,Honda,Civic,2011,diesel,oil_change,16,842.4,average,time,0.9135
3.83,2149.9,Maruti,Swift,2012,diesel,oil_change,64,1208.5,light,time,0.6462
5.46,6065.6,Ford,Fiesta,2023,petrol,full_service,23,831.1,average,time,0.879
1.65,2692.7,Toyota,Corolla,2022,petrol,oil_change,129,6967.9,average,time,0.28
1.52,2570.7,Volkswagen,Golf,2012,petrol,inspection,95,5429.3,average,km,0.327
1.73,1669.9,Maruti,Vitara,2022,petrol,oil_change,138,4283.2,light,time,0.2768
3.95,3224.0,Volkswagen,Golf,2015,hybrid,full_service,67,1829.7,light,time,0.6424
6.87,6224.1,Toyota,Camry,2017,electric,inspection,180,5429.1,light,time,0.5368
3.17,4625.4,Honda,Civic,2011,petrol,oil_change,71,3374.6,average,km,0.5754
5.52,8129.3,Honda,Civic,2010,diesel,full_service,19,928.9,average,time,0.8971
1.6,1102.8,Honda,CR-V,2012,petrol,inspection,114,2709.2,light,time,0.2982
2.27,4233.1,Ford,Fiesta,2019,hybrid,oil_change,128,7766.9,average,km,0.3505
1.44,2611.2,Honda,Civic,2010,electric,oil_change,296,17805.1,average,time,0.1285
2.25,1229.9,Honda,Civic,2011,petrol,full_service,107,1992.9,light,time,0.3899
1.98,6510.7,Honda,CR-V,2018,hybrid,oil_change,51,5489.3,heavy,km,0.5421
2.53,8944.0,Maruti,Baleno,2017,diesel,inspection,52,6056.0,heavy,km,0.595
0.76,2196.9,Honda,Civic,2023,petrol,full_service,94,8803.1,heavy,km,0.1978
4.74,8857.9,Hyundai,i20,2020,diesel,oil_change,29,1786.9,average,time,0.8325
0.85,1737.9,Maruti,Vitara,2010,petrol,oil_change,90,6262.1,average,km,0.2237
1.52,4846.2,Volkswagen,Tiguan,2021,hybrid,oil_change,79,8353.8,heavy,km,0.3694
2.39,4257.0,Honda,Accord,2014,petrol,oil_change,62,3743.0,average,km,0.5385
3.77,9530.0,Ford,Fiesta,2018,petrol,full_service,6,470.0,heavy,km,0.9528
2.34,1619.4,Hyundai,Tucson,2021,petrol,full_service,130,3039.7,light,time,0.3535
5.53,8403.4,Toyota,Camry,2016,diesel,oil_change,15,769.6,average,time,0.9164
0.08,147.4,Honda,Civic,2021,petrol,oil_change,110,10852.6,heavy,km,0.0217
1.67,6328.7,Toyota,Corolla,2010,hybrid,full_service,26,3271.3,heavy,km,0.6618
4.31,6603.5,Maruti,Baleno,2012,diesel,oil_change,5,240.7,average,time,0.9645
3.43,4542.1,Toyota,Camry,2020,diesel,oil_change,99,4202.3,average,time,0.5125
0.63,1283.3,Hyundai,Creta,2010,petrol,oil_change,96,6716.7,average,km,0.1669
2.65,1408.2,BMW,X3,2020,hybrid,oil_change,125,2149.3,light,time,0.3913
11.59,18744.4,Ford,Fiesta,2017,electric,inspection,20,1058.1,average,time,0.9465
0.1,145.2,Hyundai,Creta,2023,electric,full_service,407,19559.8,average,time,0.0072
1.42,2528.7,Ford,Fiesta,2013,petrol,full_service,91,5471.3,average,km,0.3216
0.44,1257.7,Toyota,Corolla,2011,electric,oil_change,349,32967.9,heavy,time,0.0366
0.09,217.1,Toyota,Corolla,2019,electric,brake_service,311,31722.0,heavy,time,0.0087
4.89,8658.9,Volkswagen,Polo,2022,petrol,oil_change,39,2341.1,heavy,km,0.7906
6.96,9137.0,Ford,Fiesta,2024,petrol,full_service,22,960.9,average,time,0.9057
5.42,14906.2,Maruti,Vitara,2019,diesel,full_service,0,93.8,heavy,km,0.9982
1.91,3183.7,Ford,Fiesta,2023,diesel,brake_service,122,6663.0,average,time,0.3226
2.33,8290.2,Toyota,RAV4,2015,diesel,oil_change,33,3709.8,heavy,km,0.6848
0.2,564.4,Ford,Focus,2021,petrol,oil_change,104,10435.6,heavy,km,0.0552
0.37,1163.7,Ford,Escape,2017,petrol,full_service,87,8836.3,heavy,km,0.1163
4.06,6067.5,Hyundai,Creta,2018,electric,oil_change,254,12537.7,average,time,0.3272
3.11,4205.8,Hyundai,i20,2015,petrol,oil_change,84,3794.2,average,km,0.5282
2.38,2096.1,Ford,Focus,2021,hybrid,inspection,99,2779.0,light,time,0.4227
6.06,11299.1,Hyundai,i20,2019,electric,inspection,176,10926.2,average,time,0.5117
11.37,8729.0,Hyundai,Creta,2016,electric,full_service,13,329.6,light,time,0.9637
5.66,17652.2,BMW,X3,2018,electric,inspection,174,17797.5,heavy,time,0.4973
1.19,1938.5,Hyundai,i20,2010,petrol,oil_change,110,6061.5,average,km,0.2473
3.74,6205.6,Honda,Civic,2013,hybrid,oil_change,63,3394.4,average,km,0.6423
4.55,7767.2,BMW,5 Series,2016,petrol,oil_change,39,2232.8,average,km,0.7793
1.1,905.2,Volkswagen,Polo,2010,petrol,inspection,137,3392.2,light,time,0.1961
3.53,2114.4,Hyundai,Tucson,2022,petrol,oil_change,72,1422.6,light,time,0.6
2.84,4369.2,Honda,Accord,2019,petrol,inspection,110,5535.3,average,time,0.4404
3.42,5614.4,Honda,CR-V,2016,diesel,inspection,75,4036.5,average,time,0.5828
2.18,3172.9,Hyundai,Tucson,2016,petrol,oil_change,90,4283.8,average,time,0.4245
1.6,1134.6,Volkswagen,Polo,2015,petrol,full_service,142,3348.1,light,time,0.2547
0.39,796.9,Volkswagen,Tiguan,2011,petrol,brake_service,117,7203.1,average,km,0.0926
2.66,10606.1,Ford,Escape,2016,diesel,oil_change,34,4393.9,heavy,km,0.7067
3.54,5175.5,Maruti,Swift,2013,diesel,brake_service,92,4461.1,average,time,0.5406
1.29,1997.2,Ford,Escape,2012,diesel,oil_change,122,6217.0,average,time,0.2432
4.66,6498.3,Maruti,Swift,2019,petrol,oil_change,65,2979.0,average,time,0.6861
2.76,4700.6,Volkswagen,Tiguan,2010,electric,oil_change,251,14004.5,average,time,0.2507
1.81,2691.9,Ford,Fiesta,2015,diesel,full_service,119,5789.8,average,time,0.3176
3.77,10597.5,Maruti,Vitara,2021,petrol,oil_change,4,402.5,heavy,km,0.9672
1.37,709.9,Ford,Fiesta,2016,diesel,oil_change,86,1461.7,light,time,0.3272
1.72,2505.2,Ford,Fiesta,2018,petrol,oil_change,131,6341.6,average,time,0.2864
1.1,1822.0,BMW,X3,2012,diesel,full_service,136,6995.9,average,time,0.1969
0.09,228.1,BMW,X3,2019,diesel,oil_change,149,14771.9,heavy,km,0.0173
0.69,727.0,Maruti,Swift,2024,diesel,oil_change,148,5063.5,average,time,0.1237
7.53,20872.2,Toyota,Camry,2024,electric,oil_change,94,8571.5,heavy,time,0.7085
0.57,810.0,Ford,Focus,2013,petrol,full_service,151,7190.0,average,km,0.1031
1.96,2854.7,BMW,5 Series,2018,diesel,oil_change,106,5005.6,average,time,0.359
1.22,4280.8,Hyundai,Tucson,2015,diesel,full_service,65,7719.2,heavy,km,0.3622
0.3,344.3,Honda,Accord,2023,petrol,brake_service,170,5808.5,light,time,0.051
1.0,2033.1,BMW,5 Series,2022,diesel,full_service,134,9053.9,average,time,0.185
3.9,1912.2,Volkswagen,Tiguan,2014,diesel,full_service,72,1164.7,light,time,0.6229
1.2,1008.7,Toyota,Corolla,2011,petrol,oil_change,109,2965.1,light,time,0.2509
0.36,333.8,BMW,5 Series,2023,petrol,full_service,174,5833.7,average,time,0.0585
4.12,6871.5,Ford,Focus,2016,petrol,brake_service,56,3083.3,average,time,0.6911
3.41,4050.2,Toyota,RAV4,2017,hybrid,inspection,59,2298.2,light,time,0.637
1.98,4423.4,Honda,CR-V,2020,petrol,inspection,75,5576.6,average,km,0.444
12.7,35478.9,Maruti,Baleno,2024,electric,inspection,22,1981.6,heavy,time,0.9471
0.49,1555.1,Volkswagen,Tiguan,2014,diesel,inspection,96,10444.9,heavy,km,0.1353
9.66,7846.1,Toyota,RAV4,2018,electric,inspection,85,2282.9,light,time,0.7757
2.27,2926.9,Ford,Escape,2012,hybrid,brake_service,122,5170.0,average,time,0.3614
1.69,1406.1,BMW,3 Series,2020,hybrid,oil_change,144,3766.7,light,time,0.2636
3.02,5974.3,Volkswagen,Golf,2020,petrol,full_service,64,4025.7,average,km,0.5911
0.43,717.8,Ford,Fiesta,2010,petrol,inspection,145,7282.2,average,km,0.0835
7.11,6997.5,BMW,X3,2023,petrol,brake_service,5,157.9,light,time,0.978
3.14,5946.3,Hyundai,Creta,2021,petrol,brake_service,67,4191.1,average,time,0.5887
5.6,10423.1,Hyundai,Tucson,2011,diesel,oil_change,11,673.4,average,time,0.9394
1.43,1096.1,BMW,X3,2011,petrol,brake_service,148,3601.3,light,time,0.2271
